id,textart,text,sentiment_gs,cleaned_text,sentiment_nb,sentiment_svm
Kurz_Tweet_301,Tweet,Wir wollen jüdisches Leben aktiv unterstützen und gegen jede Form des #Antisemitismus ankämpfen – damit aus einem „Niemals vergessen“ ein „Nie mehr wieder“ werden kann.,1,jüdisch leben aktiv unterstützen jed form antisemitismus ankämpfen niemals vergessen nie,-1,-1
Rendi-Wagner_Tweet_27,Tweet,"Herzliche Gratulation an Renate Anderl und ihr Team! Auch in Wien hat die FSG auf 60,8 Prozent zugelegt und liegt deutlich auf Platz 1. Tolle Arbeit und super Ergebnis! (prw) #AKWahl #Wien",1,herzlich gratulation renate anderl teommen weinen fsg prozent zulegen liegen deutlich platz toll arbeit sup ergebnis prw akwahl weinen,1,1
Rendi-Wagner_Tweet_60,Tweet,"Viele ExpertInnen warnen davor, dass die Arbeitslosigkeit in den kritischen Bereichen wieder steigen könnte. Die Bundesregierung droht das zu verschlafen. Wir haben ein Paket für die Stärkung Wirtschaft und Beschäftigung zusammengestellt, das 100.000 Arbeitsplätze bringt.",0,expertinnen warnen davor arbeitslosigkeit kritisch bereich steigen bundesregierung drohen verschlafen paken stärkung wirtschaft beschäftigung zusammenstellen arbeitsplatz bringen,0,-1
Fehr_tweet_96,Tweet,Regierungsrat verabschiedet eine koordinierte Strategie zur Umsetzung der nationalen #Integrationsagenda. Damit sollen vorläufig aufgenommene Personen &amp; #Flüchtlinge rascher in die #Arbeitswelt &amp; besser in die hiesige Gesellschaft integriert werden. #rrzh,0,regierungsrat verabschieden koordiniert strategie Umsetzung national integrationsagenda sollen vorläufig aufgenommen Person amp flüchtling rasch arbeitswelt amp hiesig sellschafen integrieren rrzh,0,0
Akk_Tweet_4,Tweet,Getting Europe right.,0,getting europe righen,-1,0
Lindner_Tweet_1,Tweet,"Neben @GOettingerEU im selben Stadion, aber wir jubeln bei unterschiedlichen Situationen... :) CL #BVBVFB @BVB @VfB",1,neben goettingereu selb stadion jubeln unterschiedlich situation cl bvbvfb bvb vfb,0,-1
Kurz_Tweet_373,Tweet,"Das bekannt gewordene FPÖ-Skandal-Video hat Österreich geschadet, zeigt einen falschen Zugang zur Politik &amp; hat d Zusammenarbeit in d Regierung zerstört. Mit HBP @vanderbellen setze ich mich f eine restlose Aufklärung ein &amp;werde alles tun,um f stabile Verhältnisse in Ö zu sorgen.",-1,bekannt worden fpöskandalvideo österreich schaden zeigen falsch zugang politik zusammenarbeit regierung zerstören hbp vanderbell setzen restlos aufklärung ampwerden tunum stabil verhältniß sorgen,-1,-1
Kurz_Tweet_249,Tweet,Die orthodoxe Gemeinde feiert heute #Ostern. Ich wünsche ein frohes und gesegnetes Fest!,1,orthodox gemeind feieren heute ostern wünschen froh gesegnetes fest,1,1
Kurz_Tweet_155,Tweet,"Ich bedanke mich bei Gust #Wöginger für seinen unermüdlichen Einsatz für die neue @volkspartei, die persönliche Unterstützung und die enge Freundschaft! Ich freue mich auf unsere weitere Zusammenarbeit und wünsche ihm alles Gute für die Arbeit in #Schärding und #Parlament!",1,bedanken gust wöging unermüdlich einsatz neu volkspartei persönlich Unterstützung eng freundschaft freuen zusammenarbeit wünschen arbeit schärdehen parlamenen,1,1
Akk_Tweet_366,Tweet,Für Deutschlands Zukunft. #UnserEuropa. #26MaiCDU,0,deutschland zukunft unsereuropa maicdu,1,1
Aeschi_Tweet_37,Tweet,"Statt mit der #Begrenzungsinitiative endlich die Zuwanderung wieder eigenständig zu steuern, wollen FDP und SP noch mehr Zuwanderung. #BGIJa!",0,begrenzungsinitiativ endlich zuwanderung eigenständig steuern fdp sp zuwanderung bgija,-1,-1
Maas_Tweet_170,Tweet,Lateinamerika ist die grüne Lunge der Welt. Die Region ist unersetzlich im Kampf gegen den #Klimawandel und zugleich besonders von ihm betroffen. Mit der Dominikanischen Republik haben wir daher das Thema „Klima und Sicherheit“ auf die Tagesordnung des UN-Sicherheitsrats gesetzt.,0,lateinamerika grün lung weln Region unersetzlich kampf klimawandel zugleich besonders betroffen dominikanisch republik thema klima sicherheit tagesordnung unsicherheitsrats setzen,0,-1
Lindner_Tweet_371,Tweet,"Die Sperrrung des Twitter-Accounts von @SawsanChebli war maßlos &amp; falsch. Interessant aber die entrüsteten Kommentaren eben jener, die sich vorher dafür eingesetzt haben, dass Konzerne wie #Twitter und #Facebook darüber bestimmen, was online bleibt und was nicht. CL #NetzDG",-1,sperrrung twitteraccounts sawsanchebli maßlos amp falsch interessant entrüstet kommentar eben jen dafür einsetzen konzern twitt facebook bestimmen online bleiben cl netzdg,-1,-1
Kurz_Tweet_151,Tweet,"Vielen Dank für die Einladung zum Polit-Talk mit Wolfgang Braun &amp; @CKotanko in Linz, @nachrichten_at! Es war eine gute Diskussion zu aktuellen Themen, #Reformen in #Österreich sowie europäische Herausforderungen wie den #Brexit.",1,dank Einladung polittalk wolfgang braun amp ckotanko linz nachrichtenat diskussion aktuell them reformen österreich sowie europäisch herausforderungen brexit,1,1
