,ID,TONALITÄT,TEXTART,DATUM,MEDIUM,THEMA,STIL ZEITUNG,ART,sentiment,TEXT
0,AKK_Facebook_1,5,Facebook-Post,2019-05-27 00:00:00,14,Kommentar zu gesellschaftlicher Situation; Ereignisse/ Vorfälle im öffentlichen Leben/ bestehenden Werten und Normen,,3.0,-1,Es ist absurd mir zu unterstellen Meinungsäußerungen regulieren zu wollen. Meinungsfreiheit ist hohes Gut in der Demokratie. Worüber wir aber sprechen müssen sind Regeln die im Wahlkampf gelten. Wenn einflussreiche Journalisten oder Youtuber zum Nichtwählen oder gar zur Zerstörung demokratischer Parteien der Mitte aufrufen ist das eine Frage der politischen Kultur. Es sind gerade die Parteien der Mitte die demokratische Werte jeden Tag verteidigen.
1,AKK_Facebook_2,3,Facebook-Post,2019-05-27 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,LIVE: Pressekonferenz mit Annegret Kramp-Karrenbauer und Carsten Meyer-Heder
2,AKK_Facebook_3,3,Facebook-Post,2019-05-26 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,LIVE aus dem Konrad-Adenauer-Haus: Presse-Statement zur Europawahl mit Annegret Kramp-Karrenbauer Manfred Weber und Markus Söder!
3,AKK_Facebook_4,2,Facebook-Post,2019-05-25 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,1,Wir geben Vollgas für die morgige Europawahl ‡‡. Für Sicherheit Frieden und Wohlstand. Jede Stimme zählt für ein starkes Europa! Die Zukunftsformel lautet ‘‰#26MaiCDU— #unserEuropa CDU Saar Tobias Hans Roland Theis CDU Junge Union Saar
4,AKK_Facebook_6,3,Facebook-Post,2019-05-24 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,Servus aus Munchen— Annegret Kramp-Karrenbauer live in Munchen zum #Europawahl-Endspurt verfolgen. #thepowerofwe #unserEuropa #26MaiCDU
5,AKK_Facebook_7,1,Facebook-Post,2019-05-23 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Wahlkampf daheim ist immer noch am schönsten. Die CDU Saar ist ein echt guter Landesverband und darauf können wir stolz sein. Jetzt geben wir nochmal 72 Stunden Vollgas für Roland Theis Uwe Conradt und Ralph Schmidt. Die Zukunftsformel lautet ‘‰ #26MaiCDU!
6,AKK_Facebook_8,1,Facebook-Post,2019-05-23 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,1.0,1,Im #Grundgesetz verankert in den Herzen gelebt: #UnserEuropa. Heute ist ein guter Grund zu feiern! #70JahreGG / Fotos: CDU Jens-Uwe Kerl
7,AKK_Facebook_9,2,Facebook-Post,2019-05-22 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Moin! Mit Daniel Günther und Niclas Herbst zum Wahlkampfendspurt in Kiel. In den nächsten 3 Tagen kommt es darauf an viele Menschen für unsere Positionen und für #unserEuropa zu überzeugen! Denn am Sonntag geht es um viel: Die Europäische Union ist unser Garant für Frieden und Freiheit für Wohlstand für unserer Werte für Sicherheit und Stabilität. ‘‰ Die Formel für die Zukunft lautet: #26MaiCDU. CDU Schleswig-Holstein Junge Union Schleswig-Holstein
8,AKK_Facebook_10,2,Facebook-Post,2019-05-21 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Ab auf die Zielgerade des Wahlkampfs in Bremen mit Carsten Meyer-Heder. Am Sonntag haben wir es in der Hand nach über 70 Jahren können wir die #SPD ablösen. Gemeinsam in den Endspurt und für ein besseres Bremen & ein starkes Europa kämpfen. Bremen kann mehr. Für Deutschlands Zukunft. Für ein starkes Europa. Die Formel für die Zukunft lautet: #26MaiCDU. CDU Bremen
9,AKK_Facebook_11,1,Facebook-Post,2019-05-21 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Start meiner heutigen Wahlkampftour im Norden heute Mittag auf einen Espresso mit Roland Heintze. Nicht erst seit dem letzten Parteitag komme ich immer wieder gerne nach Hamburg. Diese schöne Stadt braucht wieder einen CDU-Abgeordneten in Brüssel. Wir als CDU haben das beste Gesamtpaket: Die richtigen Antworten starke Kandidatinnen und Kandidaten sowie einen klaren Kompass für #unserEuropa bei den großen Zukunftsfragen: #Sicherheit #Wohlstand und #Frieden. Unsere Formel für Deutschlands Zukunft und ein starkes Europa lautet: #26MaiCDU. CDU Hamburg Andr Trepoll Rüdiger Kruse Carsten Ovens
