id,sentiment,textart,text,sentiment_gs
AKK_Facebook_53,0,Facebook-Post,der französische präsident emmanuel macron wandte sich an die bürger in europa es müsse dringend gehandelt werden darauf kann es nur eine antwort geben unsereuropa muss stärker werden  httpswwwcdudeartikeleuroparichtigmachengettingeuroperight ,0
Aeschi_Tweet_242,0,Tweet,das konzept der nzz kennen wir das institutionellerahmenabkommen mit der eu unterzeichnen dann sinken die schweizer löhne und der schweizer wohlstand auf euniveau und im kielwasser werden sich auch die preise an euniveau anpassen instanein svpch freiundsicher,-1
Aeschi_Tweet_35,0,Tweet,einzig die svp lehnt die kohäsionsmilliardenzahlung an die eu ab die schweiz darf sich nicht erpressen lassen und plötzlich für den gegenseitigen marktzugang einseitige geldzahlungen leisten,-1
Aeschi_Tweet_95,1,Tweet,danke für die unterstützung camille natürlich braucht es eine zweite folge wenn dir abstimmungscouverts in den haushaltungen sind weiter so,1
Bild_Facebook_Offline_16,1,Zeitungsartikel Offline,bund cdukandidat mohring veröffentlicht selfie nach chemotherapie total tolles gefühl tik erfurt  die haare und der bart wachsen wieder das ist ein total tolles gefühl sagt thüringens cdu fraktionschef mike mohring  foto nach chemotherapie gegen seine krebserkrankung und einer kur zeigte sich mohring auf instagram und in einem video auf facebook jetzt erstmals wieder ohne mütze  und mit raspelkurzfrisur jetzt will er sich in den landtagswahlkampf stürzen motto aufbruch  bild quelle mikelmohring  instagram,1
Bild_Facebook_Online_2,0,Zeitungsartikel Online,skandalös und peinlich empörung über treffen von linkenpolitiker mit maduro der linke bundestagsabgeordnete andrej hunko reicht venezueladiktator nicols maduro freundlich die hand foto dpa    uhr in venezuela tobt seit wochen ein machtkampf zwischen diktator nicols maduro  und dem vom westen unterstützten herausforderer juan guaid  der bundestagsabgeordnete andrej hunko  linke machte trotzdem dem diktator seine aufwartung schüttelte ihm freundlich die hand und posierte für gemeinsame fotos das treffen des linkenbundestagsabgeordneten hunko mit maduro hat für empörung bei den regierungsfraktionen in berlin gesorgt der stellvertretende cducsufraktionschef johann wadephul nannte die begegnung in caracas skandalös der spdaußenpolitiker nils schmid bezeichnete sie als peinlich das treffen in caracas fand bereits am mittwoch statt foto dpa der spdpolitiker schmid nannte es beschämend dass die linkspartei immer noch einen herrscher unterstützt der die demokratie in venezuela zerstört und sein land ins wirtschaftliche verderben gestürzt hat mit diesem besuch schlägt hunko der unterdrückten bevölkerung venezuelas ins gesicht und macht sich zum politischen handlanger maduros sagte wadephul auch der grünenaußenpolitiker omid nouripour warf dem linkenabgeordneten vor sich von maduro propagandistisch instrumentalisieren zu lassen maduro ist kein linker präsident sondern ein schlimmer kleptokrat der sein land und sein volk ruiniert sagte er maduro befindet sich seit monaten in einem erbitterten machtkampf mit parlamentspräsident juan guaid der maduro wahlfälschung vorwirft sich im januar selbst zum interimspräsidenten ernannt hat und von der bundesregierung und anderen westlichen staaten anerkannt ist parlamentspräsident juan guaid will die dikatur von maduro beenden foto yuri cortez  afp die regierung von maduro treibt venezuela seit monaten ins chaos  obwohl es dank seiner ölvorkommen eines der reichsten länder der erde sein könnte aber millionen menschen fliehen aus dem land vor hunger arbeitslosigkeit und unterdrückung hunko ist der erste bundespolitiker der venezuela seit beginn des machtkampfes besucht er hält sich insgesamt elf tage dort auf und will am wochenende nach deutschland zurückkehren das treffen mit maduro fand bereits am mittwoch in der hauptstadt caracas statt hunko schrieb dazu auf facebook er habe bei dem langen austausch über die internationale lage die solidarität mit dem venezolanischen volk gegenüber wirtschaftssanktionen und kriegsdrohungen zum ausdruck gebracht zu seinen gesprächspartnern in caracas zählte aber auch guaid das auswärtige amt erklärte dass die deutsche botschaft in caracas hunko zwar bei der anfrage von einzelnen terminen unterstützt und diese begleitet habe dies gilt nicht für das treffen mit herrn maduro fügte das ministerium aber hinzu seine eigene fraktion hatte hunko vor der reise über seine absichten informiert der linken außenpolitiker stefan liebich verwies darauf dass es seinem parteifreund gelungen sei mit beiden seiten zu sprechen insofern habe ich daran keine kritik sondern bin gespannt was er uns erzählt maduro schrieb auf twitter im rahmen unserer diplomatie des friedens habe ich den deutschen abgeordneten andrej hunko empfangen wir hatten ein wichtiges treffen um die beziehungen zur europäischen gemeinschaft und den respekt vor dem internationalen recht zu stärken,-1
Bild_Facebook_Online_23,0,Zeitungsartikel Online,bewegendes instagramfoto von mike mohring cdulandeschef zeigt sich nach krebsbehandlung auf diesem instagramfoto zeigt sich thüringens cdulandeschef mike mohring zum ersten mal seit monaten ohne mütze  ein zeichen für seine genesung nach der kräftezehrenden krebsbehandlung foto mikemohringinstagram    uhr zufrieden lächelt thüringens cdulandeschef mike mohring  in die kamera a good feeling with my new hair deutsch ein gutes gefühl mit meinen neuen haaren steht neben dem foto das mohring am samstag bei instagram postete zusammen mit dem hashtag fightcancer deutsch bekämpft krebs seit mitte februar ist die behandlung abgeschlossen die neuen haare sind ein zeichen dafür dass sich mohrings körper allmählich vom kampf gegen den krebs erholt nach der krebs diagnose im oktober  stand mohring unter der doppelbelastung aus chemotherapie und wahlkampf als spitzenkandidat für die landtagswahl in erfurt beim jahresempfang cdukreisverband weimarer land mit cduchefin annegret krampkarrenbauer trug mike mohring noch mütze foto bodo schackow  dpa bei einem interview im bildtalk die richtigen fragen am  februar hatte mohring ausführlich über den persönlichen kraftakt der vergangenen monate gesprochen die letzten monate waren nicht ganz unanstrengend so eine therapie durchzustehen und trotzdem nebenbei im job zu stehen und aufgaben zu erledigen hatte er im interview gesagt dies sei beides ganz gut gelungen große anteilnahme in den sozialen medien um welchen krebs es sich gehandelt hat ist bislang immer noch unbekannt die diagnose hatte mohring nach einer operation erhalten die ärzte hatten ihm damals eine heilungschance von  prozent vorausgesagt trotz der schockdiagnose und der kräftezehrenden behandlung bleibt mohring politisch aktiv sein ziel die cdu bei der landtagswahl am  oktober in erfurt zurück auf die regierungsbank holen der jährige nimmt seit der diagnose zwar viel weniger termine wahr um sich in den behandlungspausen zu schonen aber er bleibt präsent nahm mitte januar sogar an der cdu bundesvorstandsklausur in potsdam teil mike mohring mit cdugeneralsekretär paul ziemiak  auf der cdubundesvorstandsklausur in potsdam foto picture alliancedpa auch als ihm wegen der kräftezehrenden behandlung die haare ausfielen blieb er in der öffentlichkeit zeigte sich stattdessen mit mütze oder basecap was mohring kraft gibt die anteilnahme aus seinem umfeld als er kurz vor der cduklausur im januar in einem video auf facebook erstmals öffentlich von seiner krankheit sprach hatte er zuspruch von tausenden leuten aus ganz deutschland erhalten mike mohring vor der krebsdiagnose auf einem foto im mai  foto dpa auch unter seinen instagrampost vom samstag reihen sich aufbauende worte und genesungswünsche gute besserung weiterhin mike und gottes segen schrieb eine userin schön dass es wieder bergauf geht schrieb ein anderer ein halbes jahr vor der landtagswahl wird mohring sich jetzt zunehmend auf die landtagswahl in thüringen konzentrieren angesichts der jüngsten prognosen könnte der wahlkampf für das endgültige ergebnis eine entscheidende rolle für das abschneiden der cdu spielen denn für eine rotrotgrüne regierungskoalition wie sie jetzt regiert reicht es laut einer umfrage des meinungsinstituts insa nicht mohrings cdu ist mit  prozent dagegen die stärkste kraft in der umfrage und hätte damit chancen auf einen platz in der regierung insa befragte  erwachsene aus thüringen zwischen dem  und  april telefonisch sowie online,1
Bild_Facebook_Online_31,1,Zeitungsartikel Online,wegen bayernfeindlicher äusserungen bayernpartei will grünen chef habeck die einreise verweigern grünenchef robert habeck und die bayernparteipolitikerin regina schropp foto reginaschroppde michele tantussi  afp    uhr paukenschlag im beschaulichen landkreis weilheimschongau die bayernpartei möchte dem bundesvorsitzenden der grünen robert habeck ein einreiseverbot erteilen der politiker soll eigentlich im juni anlässlich einer jahrfeier im ort peißenberg als redner auftreten mit einem antrag im kreisausschuss möchte bayernparteipolitikerin regina schropp dem nun einen riegel vorschieben grund für diesen drastischen schritt habeck habe sich öffentlich wiederholt bayernfeindlich geäußert als beispiele nennt sie habecks aussage ihm sei ein ägypter aus kairo lieber als ein bayer von der alm weiterer aufreger für die lokalpolitikerin habeck habe die bayern als undemokraten im landtagswahlkampf  bezeichnet dies rechtfertigt das beantragte einreiseverbot schreibt die gelernte kellnerin schropp in ihrem antrag den sie auch bei facebook veröffentlichte problem des antrags das ägypterzitat stammt gar nicht von habeck der satz soll auf einem grünentreffen im märz in berlin gefallen sein die demokratieaussage hingegen lässt sich habeck zuordnen vor der bayerischen landtagswahl hatte er sich gefreut dass die csualleinherrschaft ende endlich gibt es wieder demokratie in bayern hatte er hinzugefügt später entschuldigte sich habeck dafür die bayernpartei bekam bei der vergangenen landtagswahl im jahr  nur  prozent der stimmen und ist nicht im landtag vertreten bei der europawahl erhielt sie in bayern sogar nur  prozent in schropps landkreis weilheimschongau stellt die partei einen von  kreistags sitzen ob der antrag angenommen wird darf zumindest angezweifelt werden ,-1
Bild_Facebook_Online_52,-1,Zeitungsartikel Online,nach fpöskandalvideo russenoligarch jagt falsche nichte igor makarow wurde eine nichte untergejubelt die er gar nicht hat foto picture alliancedpa    uhr aus der bsoffnen gschicht wie exvizekanzler heinzchristian strache  fpö den videoskandal herunterzuspielen versuchte ist ein bedrohlicher polittsunami geworden die rechtsextreme fpö säuft in den umfragen ab die ösiregierung ist gekentert kanzler sebastian kurz  övp steht das wasser bis zum hals bild erklärt die wichtigsten entwicklungen in der ibizaaffäre echter oligarch jagt falsche nichte aus skandalvideo jetzt spricht der oligarch  und zwar der echte igor makarow  russischer milliardär und angeblicher onkel der lockvogelrussin aus dem skandalvideo will die frau auf dem ibizavideo nicht kennen die mysteriöse blondine hatte sich als oligarchennichte namens aljona makarowa ausgegeben  und so die fpöoberen in die falle gelockt es ist allgemein bekannt dass ich ein einzelkind in meiner familie war und dementsprechend auch keine nichten habe sagte makarow russischsprachigen medien er  platz  der reichsten russen  will die hintermänner der video falle nun ausfindig machen und bestrafen lassen wir nutzen alle juristischen mittel um herauszufinden wer hinter der unrechtmäßigen verwendung meines namens steht sagt der milliardär es wäre also misslich für die videofilmer wenn sie nicht zu einem geheimdienst gehören russische oligarchen haben oft nicht nur unbegrenzte mittel sondern sind auch unbegrenzt entschlossen ihre interessen zu verfolgen  strache will seine unschuld beweisen er ist weg und halb österreich zittert vor der stracherache exvizekanzler und exfpöchef heinzchristian hc strache  hat sich zurückgezogen in seine luxusvilla im noblen klosterneuburg vor wien selbst für engste mitarbeiter nicht erreichbar heinzchristian strache mit seiner ehefrau philippa foto picture allianceap photo doch für innere einkehr ist strache nicht bekannt ein enger vertrauter zu bild hc hatte mehrere rechtsanwälte da er werde wohl wegen des ibizavideos anzeige erstatten und strache und die fpö sinnen für den bruch auf rache an kanzler sebastian kurz offen ist nur wie brutal auf facebook meldete strache wir werden die hintermänner des kriminell erstellten videos  ausfindig machen und ich werde meine unschuld beweisen dafür kämpfe ich kämpfen muss steilaufsteiger strache mit  stadtrat mit  landtag fpöchef mit  auch daheim ehefrau nummer zwei philippa  foto zog mit sohn hendrik  monate vorerst zu ihren eltern comeback  in jeder hinsicht offen  strachevertrauter gudenus spricht von kotropfen und fürchtet neue enthüllung exfpöfraktionschef johann gudenus  will an dem villaabend nicht nur bsoffen sondern womöglich auch mit kotropfen oder ähnlichen substanzen und drogen gefügig gemacht worden sein ihm fehlten erinnerungen über stunden hinweg so gudenus zudem befürchtet er weiteres material das ihn in kompromittierenden situationen zeige zu seinem zustand während des heimlich mitgeschnittenen treffens sagte gudenus ich war in dieser längeren zeitspanne sichtlich in einer ausnahmesituation erschöpft überarbeitet nahe einem burnout und in einer persönlichen krise zu wenig schlaf zu viel alkohol gemixt mit energydrinks und psychotrope substanzen um die innere anspannung und unruhe zu bekämpfen fpö und spö wollen kurz kopf wenn es darum geht ösikanzler sebastian kurz zu stürzen sind sich die ösisozialdemokraten spö sogar mit der rechten fpö einig am montag soll es einen misstrauensantrag im parlament geben dann hätte der österreichische präsident das sagen van der bellen könnte kurz entweder trotz des votums erneut angeloben  oder einen möglichen übergangskanzler akzeptieren fpö und spö wollen kurz im wahlkampf den kanzlerbonus nehmen ihn vor der wahl aus dem kanzleramt schmeißen unterstützung bekam kurz von den österreichischen liberalen den neos die einen misstrauensantrag nicht unterstützen wollen die neos gelten nach der wahl als ein möglicher koalitionspartner schäuble vermutet geheimdienst als drahtzieher selbst bundestagspräsident wolfgang schäuble  cdu  bei fachfremdem sonst eher auf zurückhaltung bedacht  spekuliert jetzt über die entstehungsgeschichte des stracheskandal videos laut stern sagte schäuble bei einer veranstaltung an einem freiburger gymnasium irgendwie riechts nach irgendwas wie einem geheimdienst schäuble hält es offenbar auch für möglich dass strache mit dem video unter druck gesetzt worden ist man fragt sich warum jetzt und wer hat es gemacht und zu welchem zweck hat man gedacht man kann den erpressen hat man ihn vielleicht die letzten zwei jahre schon erpresst,-1
Bild_Facebook_Online_6,1,Zeitungsartikel Online,grüne senatorin zeichnet für wähler comickunst für unentschlossene anja stahmann entspannt beim zeichnen vom stressigen politikerinnenalltag foto verena hornung artikel von a mertens veröffentlicht am    uhr bremen  süße wahlkampfidee von bremens sozialsenatorin anja stahmann  die grünenpolitikerin greift in ihrer knappen freizeit zum buntstift und zeichnet regionalbremenbremenaktuellanjastahmannsenatorineroeffnetihrecomicausstellung bildmobilehtml was die minen hergeben mit fröhlichen figuren wirbt die senatorin um wählerstimmen foto astahmann bei facebookprofil fragt sie welcher und welche unentschlossene wählerin möchte sich noch zwanglos überzeugen lassen von mir und meinem persönlichen buntstiftartistikwahlbrief die privatadresse per messenger an mich bringt ein original ein so genanntes anjakat in den heimischen briefkasten nicht vergessen am  mai wird gewählt foto astahmann  bestellungen hat sie bislang schon bekommen  muss ich noch abarbeiten so stahmann auch dieses motiv hat schon einen abnehmer foto astahmann wahlkampf der kreativen art,1
