id,textart,text,sentiment_gs,cleaned_text,sentiment_nb,sentiment_svm
Strache_Facebook_224,Facebook-Post,Wertschätzender Empfang der –SV-Athleten (Medaillengewinner und Weltcupsieger) im Bundeskanzleramt. Herzliche Gratulation zu den erbrachten Spitzenleistungen in der letzten Saison. Ich wünsche allen Athleten und Betreuern einen erholsamen Sommer und verletzungsfreie Vorbereitung! ‘»,1,wertschätzender empfingen svathlet medaillengewinn weltcupsieg bundeskanzleramt herzlich gratulation erbracht spitzenleistung letzt saison wünschen athlen betreuern erholsam somm verletzungsfrei Vorbereitung,0,0
Kurz_Facebook_176,Facebook-Post,Herzliche Gratulation an Andrea Völkl zu diesem historischen & starken Ergebnis mit 45 4 Prozent für die Volkspartei! Seit 1945 konnte heute zum ersten Mal die Mehrheit der SP– gebrochen werden.,1,herzlich gratulation andrea völkl historisch stark ergebnis prozent volkspartei heute erst mal mehrheit sp brechen,1,1
Strache_Facebook_114,Facebook-Post,Spitzenleistung von unserem Harald Vilimsky! Am 26.05.2019 - X - FP– - Austehen für ein starkes –sterreich - EU WAHL! ‘»,1,spitzenleistung harald vilimsky fp austehen stark sterreich eu wahl,1,1
Rendi-Wagner_Facebook_174,Facebook-Post,Ich gratuliere zu diesem sensationellen Ergebnis! In Kärnten hat die FSG mit ihrem Spitzenkandidaten Günther Goach das beste Ergebnis erreicht das es je bei einer AK-Wahl gegeben hat.,1,gratulieren sensationell ergebnis kärnen fsg spitzenkandidat günther goach ergebnis erreichen je akwahl geben,1,1
Rendi-Wagner_Facebook_132,Facebook-Post,Wir müssen den Rechtspopulisten Stoppschilder entgegen halten! Wir brauchen ein starkes solidarisches Europa. Ein Europa das Sicherheit bietet! Das gemeinsame Projekt Europa muss eine starke sozialdemokratische Handschrift tragen damit wir es zusammenhalten können. Das habe ich heute bei der Podiumsdiskussion Was Europa jetzt braucht in der Anker-Expedithalle betont. Vielen Dank an meine Mitdiskutanten - Frans Timmermanns der Spitzenkandidat der europäischen Sozialdemokraten Franz Vranitzky Brigitte Ederer Ferdinand Lacina und Andreas Schieder! Das war ein schöner und interessanter Abend!,1,rechtspopuli stoppschild halten brauchen stark solidarisch europa europa sicherheit bieten gemeinsam projeken europa stark sozialdemokratisch handschrift tragen zusammenhalten heute podiumsdiskussion europa brauchen ankerexpedithalle betonen dank mitdiskutanen frans timmermanns Spitzenkandidat europäisch sozialdemokrat franz vranitzky brigitt eder ferdinand lacina andreas schieder schön interessant abend,1,1
Maas_Facebook_15,Facebook-Post,Homosexualität ist in Teilen der Welt noch ein Todesurteil. Um die Rechte von LGBTIQ-Personen zu stärken fördert Deutschland daher weltweit entsprechende Projekte. Doch auch hier erleben sie Hass im Alltag. Es liegt an uns allen für eine offene Gesellschaft einzustehen. #IDAHOBIT,0,homosexualität teilen weln todesurteil recht lgbtiqperson stärken fördern deutschland weltweit entsprechend projeken erleben hass alltag liegen offen sellschafen einzustehen idahobit,-1,0
Kurz_Facebook_147,Facebook-Post,Eine erfolgreiche Saison liegt hinter den Athletinnen und Athleten des –sterreichischen Skiverbands. Gestern waren sie zum Saisonabschluss zu Besuch im Bundeskanzleramt. Mehr dazu:,1,erfolgreich saison liegen athletinnen athlen sterreichischen skiverbands gestern saisonabschluß besuch bundeskanzleramt,1,1
Fehr_Facebook_99,Facebook-Post,Ab heute erhältlich: Sonderheft Justizvollzug (https://bit.ly/2TBgNhx) zum 20 Jahr-Jubiläum des Amts für Justizvollzug des Kanton Zürich gibt Einblick in die vielfältige Arbeit der Profis. Danke allen Journalist*innen und Fachleuten für ihre kritischen und kompetenten Beiträge. Mit dem Blick hinter die Kulissen resp. hinter die Mauern möchten wir zeigen wie wir arbeiten und welche Fragen wir in Zukunft zu beantworten haben. Kernauftrag bleibt die Wiedereingliederung. Denn für 99 Prozent der Strafgefangenen öffnet sich früher oder später die Gefängnistür. Sie werden wieder zu unseren Nachbarn. Der Zürcher Justizvollzug leistet einen wesentlichen Beitrag damit sie zu besseren Nachbarn werden.,1,heute erhältlich sonderheft justizvollzagen httpsbitlytbgnhx jahrjubiläum amts justizvollzug kanton zürich geben einblick vielfältige arbeit profi danken journalistinnen fachleuten kritisch kompetent beitrag blicken kulissen resp mauern mögen zeigen arbeiten welch fragen zukunft beantworten kernauftriegen bleiben wiedereingliederung prozent strafgefangen öffnen früh spät Gefängnistür nachbarn zürch justizvollzug leisten wesentlich beitriegen besseren nachbarn,1,1
Rendi-Wagner_Facebook_6,Facebook-Post,Ich wurde heute vom Parteivorstand einstimmig zur Spitzenkandidatin für die Nationalratswahlen nominiert. Ich freu mich auf die kommenden Monate! Zeigen wir dass wir für ein anderes –sterreich stehen. Nämlich für ein –sterreich des Zusammenhalts des Miteinanders und des sozialen Ausgleichs. Für all jene Werte die –sterreich über Jahrzehnte stark und erfolgreich gemacht haben aber in den letzten 17 Monaten der Schwarz-Blauen Regierung vernachlässigt wurden. Gemeinsam für ein anderes –sterreich!,1,heute parteivorstand einstimmig spitzenkandidatin nationalratswahl nominieren freu kommend monat zeigen sterreich stehen nämlich sterreich zusammenhalts miteinanders sozial ausgleich all jen weren sterreich jahrzehnt stark erfolgreich letzt Monat schwarzblau regierung vernachlässigen gemeinsam sterreich,1,1
Kurz_Facebook_142,Facebook-Post,Vielen Dank für die Unterstützung! Ich freue mich immer wieder Menschen persönlich kennenzulernen die Teil unserer Bewegung sind.,1,dank Unterstützung freuen menschen persönlich kennenlernen teil bewegung,1,1
