id,text,anger,fear,sadness
1,"Stressed and uninformed. Don't feel enough is being done by the government to help with the NHS crisis or the proper enforcement of social distancing.nhs staff should be tested immediately and given the right equipment to fight the Corona virus. There should be a full lockdown straight away to stop the spread.the equipment side of it is the fact that they aren't really getting enough or even any at all.how can you be expected to take urgent care of someone, and also be worried that you might catch it,or maybe even already have it.",True,True,False
2,"I feel worried about the virus, burnout about me getting it. My mother is undergoing chemotherapy and has been told no one knows if treatment will continue if nhs becomes overwhelmed. So I am worried most about her treatment ending  also, because of the chemotherapy her immune system is lower and it could really hurt her if she caught it. So at the moment I am just keeping up to date on numbers and nhs capacity and taking it one chemotherapy session at a time. Also, my partner has underlying health conditions and is self isolating in his house. I havent seen him for nearly a month and I am worried about when I will get to see him with all this going on",False,True,False
3,"Disgusted how unprotected NHS staff are and how late the government has been in trying to resolve this. Disgusted at the amount of people not adhering to guidelines for the safety of others. Sad about the amount of people dying without their families, dying alone without even care staff having the time to sit and hold their hand whilst they take their last breath. Disgusted at the attitude of current staff when someone needs to take the week off, but also feeling the pressure of having to stay at work even though they are experiencing symptoms themselves.",True,False,True
4,"I am not too worried about the situation as I believe I am a fit and healthy human being. I am more worried about family members becoming ill with the disease and I am also very sad that I cannot see them at this time. Thankfully with technology these days I can see them everyday through a screen and chat to both friends and family whenever I want to. Its just annoying that I cannot leave the house apart from to get essentials, I live in a flat and with the nice weather we are having its becoming quite a struggle.",True,True,True
5,"I'm finding the Corona situation quite daunting and draining. I can't wait for it to end, and for things to get back to normal. I feel things will not be the same again.it's left so many families devastated. I feel so sad for the families that have lost loved ones,  both old and young. For those that are fighting for their lives, I hope they pull through.  I have hope that all will be well in the end.  This shall pass, we shall overcome this by God's grace. We are all in this together as this situation has affected the whole world and not just certain parts of it. I salute all those working in the frontline, the NHS and all those volunteering at this time.",False,True,True
6,"At the moment I feel like I am doing everything I can to protect myself as an individual from the Covid-19 virus. The UK government were a little slow to react and did not take it as seriously as I would have liked, but seem to be doing and saying the right things now. I am looking at other countries data from around the world and things are starting to look more positive from Italy and Spain, where hopefully the figures have peaked as they continue to ‘flatten the curve’. In America the state of New York they still seem to be having a real problem with getting the situation under control, I hope the president will listen to health experts as they monitor the situation.",False,False,False
7,"I feel sad for all the people infected and those that died and their families. Somewhat pissed off at how the government have handled the outbreak airports and eurotunnel still open...Particulary concerned at Boris Johnson with the situation of him still continuing to shake hands even with coronavirus patients...no wonder he is in hospital at the moment showas a disregard for the situation, fear the worse is yet to come. Me personally I am not worried health wise more concerned for my eldely parents and of course the effect it will have on our everyday lives moving forward",True,True,True
8,"I'm worried about elderly parents. I'm worried about my kids education. I feel exhausted and overwhelmed. I worry about my kids getting infected. I starting to worry less about food and provisions tho we still have no toilet paper. I feel disappointed for my kids and for myself on fun things we can't do. I feel like im doing my bit but Im so upset about not seeing my mum and mother in law who are on their own  every day feels the same and Im starting to get bored too.
The kids are acting up and fighting. I feel like my husband doesnt have to deal with this as much. Im trying to work too.",False,True,True
9,"I am very anxious and worried about the COVID-19 Coronavirus. I am scared I might catch it, and that my family and friends will catch it. I am scared we will die. I am scared of the daily numbers. I am scared to leave the house. I am fearful of what the future holds, and what will be left standing when we leave the house. I miss my family and friends. I miss being able to leave the house to go into town for coffee, to eat out, to socialise, to shop etc... I am anxious when I see other people and not to go too close to them.",False,True,False
10,"i'm very Angry at the moment as there are many people who are not taking the situation seriously and are still going out of the house for unnecessary reasons. i have been isolating for the past 2 weeks due to being high risk and the more people dont listen the longer i have to stay home and not see my family and friends. My parents and inlaws are missing my daughter and all her milestones and being pregnant right now is stressful as it is.
my mother is also high risk as she is 73 and has memory issues so has still been going out so it stresses me out having to worry about her also.",True,True,False
11,"I feel trapped in my own life. I am stuck in this flat, with my boyfriend that I want to break up with, with no job or income. I was on the verge of a new start and now everything is paused. I also feel hopeless about the prospect of jobs when this is over. I have already been in self isolation for around 5 weeks because I lost my job just before this all happened and of course it's now impossible to get another one. I have felt suicidal and desperate. Tomorrow it's my birthday. I was meant to be in a spa. I just want to escape.",False,False,True
12,"It is senseless.  If China had been honest from the start and closed borders it would not be happening.  Quite honestly I think they really should be held to account for this.

Why do I have to type 500 characters, I have summed up what i feel and cannot go too much further.

Right, I am not sure what else to say, it is pointless making it a minimum of 500 words, 

So what else can I say.  It is annoying, yes, it is expensive.  But it is what it is and we can do nothing other than try to make it go away as quickly as possible so doing as we are told is important.",True,False,False
13,"I feel quite awful about it. People are dying and I can't do anything to help. I am also high risk and am struggling to get shopping etc. Very scary. I also cannot see my parents, who are also vulnerable to the disease. I'm worried they'll get sick. I live alone and I'm worried I'll get sick and not be able to look after my cat. I find it difficult to relax. I am keeping busy and connected with friends etc but I still feel lonely due to the isolation & lack of face to face contact. I find it difficult to be happy and have fun while so many people are dying",False,True,True
14,"At the moment I feel confused and worried by the situation, on one hand it is very worrying and the fear of the situation is great.  I am very concerned about the economic situation, the state of the NHS and society as a whole.  I also worry about the older generation who are more susceptible to falling ill, although the disease is not being full ageist in who it affects 
but on the other hand staying at home with my family and not rushing around to school drop off, commuting and working full time is is good  
i feel relaxed when i am with my family but then you open the front door and the realisation hits you of what is happening",False,True,False
15,"I feel not too anxious about the corona situation however i feel quite lost and lonely, almost empty rather than sad. I feel bored and tired more often but not angry, i’m a little bit anxious about getting ill but not too bad, however my mum and dad are key workers so i’m more worried about catching it, i don’t feel as anxious as usual tho. I am struggling to feel motivated to do any work and i am struggling to get out of bed and struggling to fall asleep. I feel sad i can’t see my friends or boyfrind",False,True,True
16,"It’s annoying that some people like myself are going into their fourth week of lockdown whereas others who haven’t taken it seriously are going onto the second week. It’s sad to see that there’s still many people not taking government advise. The uncertainty of when this will all end is awful as well when can normal life begin again. The uncertainty of unknowing when I will be able to pay for bills and direct debits without rationing my last of my wages. It’s hard to keep yourself occupied during this time as well when you’re in an unhappy household, avoiding family members and really being stuck to your bedroom.",True,True,True
17,I am shocked more than anything that a % of society are showing arrogance in helping to eradicate the virus by doing as they please. I feel personally calm as I am abiding by all guidelines; however my frustration comes into play due to the fact that I am a self-employed individual who has now lost all income. Seeing people not listening to government advice is not helping the country get back to a reasonable state of normality. We need businesses to trade and the economy to start moving again. It's a worrying time for all businesses regardless of size.,True,True,False
18,"Fed up of the situation, which could have been controlled better if decisions were made before they were.
My little boy is desperate to get out the house and socialise. We are so busy trying to protect older/vulnerable people and the NHS we are forgetting about our little people and the damage it’s doing to them! I feel so sad for him and his sister who have no understanding of the situation and just want to go out and play and go back to nursery. I can cope with my own frustrations but my heart breaks for theirs!",True,False,True
19,"Feel worried, concerned, uncertain, fear, anxious, a lot of thoughts. Fear of contracting the virus or family and close ones. Uncertain about the current situation and future, worried about job, financial income as currently not working, and work has been paused. Scared, and feeling some sadness and anger received from racial discrimination from people due to the coronavirus as it has affected everyone. Safety concerns and whether or not to go out for groceries, worried about who may or may not have it",True,True,True
20,"I feel afraid for the people I know especially my family and friends. I feel sad for the people who have lost their lives especially my uncle who was in hospital alone died alone and was cremated alone. I am anxious all the time and don't sleep well. I am grateful to all the NHS staff and the carers, especially the one who are looking after my 86 year old Dad who has dementia and won't understand why I'm not there. I am nervous when the phone rings incase it is bad news about dad. I am jumpy at sudden noises but frightened to hear the quietness when I am in my garden. I am scared that I won't find enough food for my family.",False,True,True
21,"I have just read about the UK deaths for today, so I'm feeling quite sad. At the same time I'm feeling frustration that people in the UK aren't taking social distancing seriously and going out for picnics and gatherings despite the spread. I miss my mum too as I'm unable to see her, due to her being high risk and living an hour away. I feel lucky that I have my partner to see over self isolation, so feel very grateful that I have him. Overall I'm feeling quite sad about the situation, not to mention worried financially as I'm self employed and currently out of work.",True,True,True
