id,text,text_short,emotion_gold,worry,anger,disgust,fear,anxiety,sadness,happiness,relaxation,desire,nchar,ntok
1,"I am more worried about getting access to my normal healthcare at  the moment, than being concerned about Corona. My usual treatments have been halted, so my health will deteriorate even if I don't catch the virus!
I am struggling to get routine prescriptions and medical appointments, which is making me feel powerless and anxious.
I am also feeling very sad, as I can not see my children and grandchildren and can not celebrate birthdays and anniversaries with them.
I have been advised to stay inside my house for twelve weeks. The thought of this is making me unhappy, as all that I want to do is to go outside for a walk, but that is not possible right now.",Not being able to cuddle my family sucks!,anxiety,6,2,2,5,5,5,4,4,4,662,132
2,"I am a little concerned that so many people are not staying at home and risking themselves and others just to enjoy the sunshine. I think the situation will get worse of the next few weeks but, hopefully, will then start to slowly improve. I'm worried what state the country will be left in as so many businesses will close down and the way we live in this country will be changed forever. So many small businesses and self-employed workers will struggle to survive. I am hopeful that a vaccine will be developed before the end of the year.","Spending time at home with the family and working from home as I normally do. The big difference is not going out. I miss going for a drive out the the beach or the countryside with my dogs, or just to wonder around some shops and stopping for a coffee when I want. Stay safe ",relaxation,6,1,1,1,2,2,5,6,4,540,106
3,"I feel relaxed. I'm aware of the risks and I'm doing my very best to mitigate against them & I'm also pleased to see others in my local community doing the same. I feel positive about the future & about life going forward from this point. I find it hard to conceive of the disease touching me personally, yet I know there is every chance that it will. I have concern for older relatives, particularly my mother, and for other people I know in the community. I'm trying to remain positive and look ahead to the end of the lockdown period whenever that may be.","I'm OK, I'm feeling positive, but also a little apprehensive. On the whole, I believe we will get through this very soon.",relaxation,3,2,1,2,2,4,6,8,7,558,114
4,"I feel a little stressed by it all, I would like to go outside and have my freedom back and just do normal things again. The issue of grocery shopping is a stress too, as it is almost impossible to get a delivery slot, so I may need to go to the supermarket, which is not exactly in keeping with the lockdown and social distancing.
It feels a little claustrophobic at times being stuck indoors.
I feel that it will take a lot longer than most people think to get back to normal, with a longer lockdown than anticipated.","Feeling stressed about the whole situation, wish the lockdown and virus was over already.",anxiety,5,2,2,2,4,2,3,3,1,519,108
5,"I am fed up about not being able to go out when I want, I miss going to the shops and seeing other people.  I don't like schooling my child from home as it takes up time that I could be doing other things.  But it is good to be able to spend more time with my child and my husband.  I miss being able to go out for dinner.  Its annoying that we do not know how long this is going to last and I am worried that my holiday may get cancelled, as, as a family we have all been looking forward to it since last year, ",frustrated at staying home and not knowing when this will end,relaxation,5,3,1,4,2,3,7,7,2,512,117
6,"At this very moment, I am feeling very fearful and sad about the Corona situation. I am afraid of contracting the virus and fear for my health and the health of my family. I am also very worried and anxious about the financial impact the situation will cause now and in the future. I'm feeling sad about the loss of life and about life coming to a standstill. I miss my family and friends keeping in touch by text and video call just isn't the same, I'm upset that I can't give them a hug. I also feel very helpless as I can't really do much to help anyone or the situation.","I'm feeling quite sad today, the enormity of the Corona situation comes in waves. I miss my normal life and wonder if life will be normal ever again.",sadness,9,4,1,9,9,9,1,1,1,574,120
7,"I feel worried and anxious although a sense of relief that having seen other european countries having reached peak that we will to. I know that this wont last forever and i cant control things outside my home but i can control my family and what is in my power to get through the worst. i feel the fear of the unknown is what is making it worse, not being able to plan things. i feel worried that when things to start to return to normal that im not sure how i will feel. i just want to be able to fast forward time when this wont consume my thoughts 24/7",i am scared for now but positive for the future,anxiety,9,7,5,8,8,8,1,2,2,556,118
8,"I am confused, there are conflicting opinions from different sources about the best way to handle things. I am sad, mainly for others who are suffering greater hardship that me, but also for myself. I am missing my family and friends, I worry for them. I am anxious about the outcome, not only in terms of the health implications, but also for the economic future of the world. I also feel proud of the way the uk government are handling the crisis, and pleased that the vast majority of citizens who are complying with the new rules. ",#we will come through this,anxiety,7,1,1,2,7,4,1,1,1,535,109
9,"After resigning myself to the lockdown situation, I planned to do my best for my family and myself by self isolating and felt that was the right thing to do,

As a result, I have been frustrated with monitoring news about other people, and seeing how they have not adhered to the recommendations of isolation - for the good of themselves and others. This has left me feeling frustrated.

All in all, I feel drained, anxious and have negative feelings for the near future, especially as I have given the situation some thought and can see some illogical reasoning going on, such as distanving musct go ahead but the governement not doing anything to distance key workers when they have to travel by public transport.","I feelk frustrated at both the public and government. The public still don't fully get the messge and flout the advice given about social distancing, and the government are acting too draconian. Both need to learn some balance to their argument and actions!",anxiety,7,4,2,6,8,4,1,2,1,715,136
10,"I am 65 but have not left the house for 3 weeks apart from a walk.   I am finding the whole thing frightening and scary,  as what will happen when we are all allowed out of lockdown,  will it still be around and am I likely to catch it.  Now Boris Johnson is very poorly it has made me very jittery poor man,  brings home how anybody can be affected and he was saying eariler he had only mild symptons yet a week later he is in ICU.   I wake up in the mornings and realise this is not all a dream just the reality of 2020 I just hope me and my family get through this.","Anxious and afraid of coronavisus what is happening in this world,  hope we can all get through this.  I want to keep myself and family safe",anxiety,9,2,1,9,9,6,2,4,1,568,124
